About,Rating,Company,Reviews,Salaries,Interviews,Jobs,Benefits,Photos
IT Services & Consulting | Bengaluru +445 other locations,120000.0,TCS,120000.0,1019999.9999999999,11400.0,4500.0,10800.0,93.0
IT Services & Consulting | Bengaluru +260 other locations,74300.0,Accenture,74300.0,710000.0,9400.0,35400.0,6800.0,49.0
IT Services & Consulting | Hyderabad +233 other locations,62100.0,Cognizant,62100.0,610000.0,6500.0,709.0,5600.0,102.0
IT Services & Consulting | Bengaluru +246 other locations,49300.0,Infosys,49300.0,530000.0,8500.0,2700.0,4900.0,120.0
IT Services & Consulting | Hyderabad +374 other locations,65700.0,Wipro,65700.0,490000.00000000006,6900.0,310.0,4800.0,114.0
IT Services & Consulting | Bengaluru +184 other locations,54000.0,Capgemini,54000.0,490000.00000000006,5600.0,2200.0,3800.0,42.0
IT Services & Consulting | Chennai +231 other locations,46500.0,HCLTech,46500.0,390000.0,4600.0,287.0,3900.0,71.0
IT Services & Consulting | Hyderabad +323 other locations,43800.0,Tech Mahindra,43800.0,290000.0,4600.0,583.0,3500.0,79.0
Management Consulting | Hyderabad +184 other locations,23500.0,Deloitte,23500.0,270000.0,3400.0,309.0,2500.0,19.0
Analytics & KPO | Hyderabad +181 other locations,42900.0,Genpact,42900.0,240000.0,3900.0,546.0,3600.0,67.0
IT Services & Consulting | Bengaluru +162 other locations,26000.0,IBM,26000.0,220000.00000000003,2600.0,1900.0,2600.0,23.0
IT Services & Consulting | Bengaluru +145 other locations,26800.0,LTIMindtree,26800.0,200000.0,3500.0,510.0,823.0,34.0
Internet | Bengaluru +518 other locations,31800.0,Amazon,31800.0,160000.0,6000.0,68.0,3700.0,95.0
Banking | Mumbai +1858 other locations,53100.0,HDFC Bank,53100.0,150000.0,3100.0,292.0,3400.0,92.0
Banking | Mumbai +1446 other locations,46300.0,ICICI Bank,46300.0,150000.0,3000.0,8.0,3800.0,73.0
Management Consulting | Bengaluru +135 other locations,14800.0,Ernst & Young,14800.0,150000.0,1400.0,4000.0,1100.0,10.0
Management Consulting | Bengaluru +137 other locations,12900.0,PwC,12900.0,130000.0,1600.0,912.0,858.0,24.0
BPO | Bengaluru +184 other locations,32600.0,Concentrix Corporation,32600.0,130000.0,2000.0,14.0,3200.0,67.0
Banking | Mumbai +1527 other locations,33700.0,Axis Bank,33700.0,100000.0,2000.0,239.0,2200.0,121.0
BPO | Mumbai +256 other locations,39100.0,TP,39100.0,99700.0,2300.0,1200.0,1900.0,38.0
Financial Services | Bengaluru +56 other locations,7900.0,JPMorgan Chase & Co.,7900.0,92500.0,892.0,450.0,870.0,14.0
Banking | Mumbai +693 other locations,22700.0,Kotak Mahindra Bank,22700.0,87500.0,1400.0,122.0,1300.0,45.0
BPO | Bengaluru +95 other locations,12200.0,Infosys BPM,12200.0,77600.0,1100.0,56.0,1100.0,8.0
